0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,y_train
169,61,64,260,131,1,471,603,2,196,406,30,96,5,1000,1453,7,612,515,1,603,8,25,1,382,317,4,179,36,68,419,487,29,7,735,192,14,1630,3,776,18,5,46,248,110,187,867,3,7,48,1056,1306,56,2575,67,7,122,351,3156,91,2334,5,1264,817,169,61,3,2230,8,56,230,33,30,52,7,32,4,14,340,558,292,2,45,794,509,67,765,507,2048,551,9417,61,29,551,255,320,117,79,76,64,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186,13,26,622,16,79,31,1322,176,47,108,2025,102,273,2968,4051,30,14,350,7102,145,847,288,15,5,628,2,1,3737,4,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,346,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,346,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
55,5,3886,288,36,9,75,93,49,66,12,254,1234,5,164,1925,573,4,3691,282,21,27,1,1247,1112,53,34,1248,721,1346,115,1,1346,778,394,11,895,3366,24,5,490,5543,3554,524,4355,18,1053,52,1450,34,19,5334,11,201,616,90,265,2,1392,9813,1772,22,1,2741,618,92,96,70,8196,168,85,1560,4,62,4803,36,14,8,38,277,332,493,3,805,201,28,1,3353,2805,8949,16,7347,1272,13,26,16,7347,468,1486,1330,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3051,17,87,1577,79,19,329,79,76,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9527,90,31,484,654,39,220,2718,2,490,390,11,135,4357,12,36,11,1712,49,446,465,33,6856,111,2,124,63,40,59,469,57,259,10,507,5878,5991,11,160,11,23,5,444,574,63,90,73,2,19,61,14,8,25,63,11,130,2,19,83,11,2553,59,268,679,10,11,160,7,61,23,38,574,63,90,73,2,19,38,15,286,6764,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,158,2770,319,349,31,651,5578,236,531,1385,98,1856,56,131,260,821,61,13,94,79,236,16,3125,3126,2101,491,2,257,22,14,150,140,38,52,2,1316,257,1456,16,17,66,4,236,531,8,167,2,13,1038,236,16,340,589,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5017,13,26,158,6688,1168,6300,764,108,419,273,113,1,4268,10,5219,4,32,5534,3256,2,19,362,3900,92,4088,474,172,25,2567,1,2059,156,12,8,2540,2077,10,5018,8,811,4055,3800,397,4088,3,5219,4,411,1,4,1,5267,122,6716,203,0
247,17,599,1105,30,4818,1041,3014,1,3802,628,15,17,372,2065,1631,72,69,372,8,1,125,1171,134,2,1100,648,3,503,1666,18,5,444,2819,2888,2,10,4,3876,372,686,117,3,5,4154,949,1965,30,1607,17,508,1879,2,19,963,366,45,5541,1105,4,7456,2,117,9,7,913,54,1,335,347,2,1875,18,46,4,45,372,4834,685,1674,1217,154,123,120,200,154,295,109,219,133,219,52,120,410,4,19,329,100,79,76,1
6,12,9,414,178,9,2614,214,87,5377,43,2046,1475,1637,24,43,2046,271,230,1,951,378,55,68,43,2046,2875,3374,50,2875,3392,201,11,91,160,8,38,2305,3129,912,90,571,10,12,122,1005,447,397,5267,83,213,3155,2,1181,12,83,460,8,5,164,357,1635,661,661,1244,177,563,489,2633,2634,98,2635,148,3,311,1711,2636,2637,1950,1007,150,1496,219,1212,2638,102,404,404,136,37,105,37,13,65,296,35,99,74,136,37,0
1765,14,991,4,7475,1,860,2,31,8,7,143,5,1281,9,197,1750,1664,81,8,12,1294,2,695,5,718,5797,2,3179,2,45,107,21,8,12,4300,2,23,1,1281,5797,3,5,220,5797,9,1,1750,3360,1134,5,718,5797,68,19,1294,29,33,149,536,2,2416,1,9885,2123,77,10,19,5,164,574,662,45,4758,385,6,3089,9,17,174,3078,791,13,26,3078,97,332,279,105,37,3078,107,3078,97,2726,37,1255,6653,3078,97,0
3,480,8999,2156,197,89,28,389,3,1148,591,3388,269,681,2,2343,3,2343,6745,2410,3325,1647,293,101,38,1402,6,1,6868,5468,4,2167,32,1,3036,53,15,396,641,1775,833,2518,56,4803,2,32,1,89,5375,13,256,16,99,74,191,156,57,2,178,14,2152,238,2696,172,318,127,869,1043,6,4940,5354,959,11,1459,10,1,68,3671,5265,20,480,3,269,3,10,90,1075,2,423,85,9,1,146,2879,13,256,16,99,74,191,0
0,0,0,0,0,2410,3,340,242,2408,7672,1,139,1154,9,5479,745,3,862,8005,55,779,1577,1,1661,4,60,4310,2,1,139,709,849,1,60,709,745,30,290,147,808,2094,6,1,709,379,2892,30,19,427,2,1142,22,1,339,60,4310,2410,340,3,60,305,604,709,745,20,61,242,2,1,597,395,28,1,339,120,13,26,16,4084,28,68,375,607,1,188,745,20,1757,2,19,59,1248,51,91,5032,1770,217,13,26,1
1832,658,1532,492,269,628,383,57,25,80,194,51,29,748,213,2259,119,1266,77,216,1195,4,2259,2586,282,6,1661,2,1,1990,1745,282,10,53,439,48,13,97,189,2035,24,2259,1892,2118,36,25,24,1973,24,2259,35,2015,7327,3,1053,89,1356,868,1209,4768,4195,715,8351,8351,78,1378,268,140,52,2,144,8268,2170,21,8329,8268,2170,246,42,304,150,141,42,78,13,26,42,78,99,74,141,9,253,210,82,37,298,307,42,78,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,71,70,105,65,420,4317,9,162,3,162,9971,3,1704,3326,659,20,541,83,7,473,2,14,112,100,405,1,105,37,8353,120,3,39,52,120,6,2,1104,6115,246,42,304,150,141,42,78,13,26,42,78,99,74,141,9,253,210,82,37,298,307,42,78,0
36,93,1229,2,483,232,147,9,251,768,467,94,174,7,161,1,157,900,1248,3,674,1501,17,2306,1213,95,24,418,24,171,179,325,416,516,95,24,418,24,252,179,325,416,31,95,95,24,418,24,359,179,325,416,13,1427,16,247,900,178,5,1264,467,94,454,7,10,33,20,76,2,364,62,3,110,216,59,2,359,1427,6,1974,13,1427,16,247,900,79,76,2,1247,17,120,22,288,1203,13,1427,16,247,900,3491,1
985,5,2978,448,9,17,109,71,20,50,985,1735,3,1,1483,1549,20,159,418,2,3219,44,82,100,473,2,14,52,18,17,154,219,218,18,751,227,3,5,164,62,2,286,7,30,19,3144,291,108,109,316,27,46,4,45,1965,729,7,9,17,62,2,19,329,22,45,401,37,140,94,38,52,18,1,167,215,3,7,30,19,1006,914,238,45,37,29,850,172,25,117,473,18,17,52,120,6,1,636,4,1,52,1
202,352,9695,6945,5242,114,214,87,1438,9,1533,2,94,18,46,4,145,156,7809,5558,534,2262,4825,2646,4551,7,20,51,9694,86,84,58,29,11,405,12,27,1663,2085,6,1,1457,3481,992,971,875,274,971,163,9696,277,971,875,203,5,1533,1,139,2262,2668,1154,1147,2632,792,1857,1942,2669,846,368,12,122,1687,1178,9,118,2734,3,2656,2546,1,277,4,1,177,55,25,87,328,2809,2,544,2316,2735,2810,3,1098,4,1,1749,2811,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,346,0
4,2168,133,964,2166,547,930,133,2861,1565,3,44,128,18,362,92,1512,280,79,76,9,5,56,900,2050,6,17,418,844,596,228,5548,423,54,4,1479,5548,1208,7807,2942,7808,280,6472,1947,570,24,418,24,171,336,738,1922,14,418,1484,79,76,64,289,15,930,596,24,4,88,359,352,24,418,24,171,336,124,5451,9,670,757,61,3,46,4,45,6242,1117,30,48,187,2,7,291,1131,484,79,76,2,19,329,100,1678,76,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,1090,404,413,47,352,763,419,1644,22,1225,7628,112,561,939,2537,83,11,151,14,8,22,1898,30,7910,24,9146,61,4,411,198,1,125,790,225,4,539,9802,3,51,15,5743,235,857,105,37,235,857,287,16,195,1186,287,16,99,74,235,857,0
647,9,1,36,15,35,5,462,1691,9,1315,15,1,720,604,1,542,4,8630,376,2,3260,1285,6,5,3919,12,331,9,38,1192,5,567,666,6,14,895,10,1,94,8991,59,2326,40,10,1,1598,1602,149,232,9,80,3260,194,164,1287,4,411,83,94,1602,149,101,2,400,3,111,76,385,1639,2683,2,2338,5,402,4,2061,6106,6225,3,3828,30,2106,19,213,9,4589,15,1,2065,1,1485,2,1315,3,1,1549,2,1,1602,0
1421,3866,3477,1624,162,1074,162,1074,162,1417,4365,3129,1562,225,76,25,6,5,1112,1074,162,1417,3672,8,25,3850,1074,162,1417,1350,9,4365,3129,1562,225,908,96,31,1074,303,425,190,6,569,826,73,14,1562,5914,29,42,274,227,457,274,41,88,375,29,2655,1732,4365,1562,1199,2655,1732,4365,1562,1199,2241,2655,1732,4365,1562,2655,1732,4365,1562,2241,1417,3289,2651,4365,3129,1562,225,908,1843,136,37,105,37,13,65,296,35,99,74,136,37,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,12,115,1,2639,791,3634,20,1795,898,44,848,77,19,29,1690,135,180,6,1,4124,131,2037,27,46,4,145,933,1514,51,10,529,34,124,84,933,233,6737,393,80,194,7635,14,135,104,19,1,896,386,9,5,947,2332,1202,770,327,2,297,18,244,3,933,18,1380,37,233,461,57,24,164,24,446,465,2402,2593,5605,133,306,13,26,1380,97,2402,0
0,0,0,0,0,0,0,0,0,0,186,13,26,4568,16,893,47,281,224,113,176,47,281,453,2066,384,724,58,75,93,1891,1277,984,901,11,1622,1387,18,615,902,84,203,301,8,1,188,134,2,96,86,3893,39,1575,3,1178,556,22,7,239,678,276,6599,11,23,68,87,2807,1598,15,5,1574,1821,9,5,538,44,92,478,185,3,128,11,34,1,1453,397,7,20,3,17,24,114,15,3,151,6,1,5418,1834,7,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,346,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1066,114,25,2,19,21,446,36,14,8,525,46,1441,21,6,1,9109,4038,11,23,50,574,11,231,59,1,154,385,9,1,4071,6568,0
681,18,820,4,2168,133,964,2166,547,930,133,2861,1565,3,44,128,18,362,92,1512,280,79,76,9,5,56,900,2050,6,17,418,844,596,423,54,4,1479,5548,1208,7807,2942,7808,280,6472,1947,570,24,418,24,171,336,738,1922,14,418,1484,79,76,64,289,15,930,596,24,4,88,359,352,24,418,24,171,336,124,5451,9,61,3,46,4,45,6242,1117,30,48,187,2,7,291,1131,484,79,76,215,13,26,16,930,215,113,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,697,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,651,172,318,66,15,5,42,220,63,8,1,3232,987,1079,246,42,304,150,141,42,78,13,26,42,78,99,74,141,9,253,210,82,37,298,307,42,78,0
1045,11,91,1858,143,279,51,121,25,239,761,6,3708,5,225,4,3634,18,98,978,2064,67,469,268,66,121,2381,6,1,551,10,314,1107,58,38,775,3249,264,394,385,9,17,1674,877,214,5,966,18,163,81,1853,51,469,57,836,615,1209,2097,4370,49,7,236,4162,9967,236,3555,8904,1399,887,9397,236,69,13,3555,69,236,16,246,42,304,150,141,42,78,13,26,42,78,99,74,141,9,253,210,82,37,298,307,42,78,0
26,3263,1686,260,2182,303,7347,131,5424,250,796,2,759,108,221,9312,6,315,316,13,26,3263,1686,260,2182,303,9860,131,48,1,2164,279,7,1687,56,494,1789,13,26,3263,1686,260,2182,303,5425,131,821,1,8372,1293,878,8373,841,13,26,3263,1686,260,2182,303,6119,131,297,17,760,2183,4042,217,13,26,3263,1686,260,2182,303,131,5,2814,193,290,1255,7,449,2,1169,14,37,100,66,1,255,347,13,26,16,7083,5163,103,646,97,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1921,290,22,290,22,371,9,5,1475,4152,4509,7685,429,5,213,929,217,770,330,14,112,126,7,23,1104,59,2,216,578,46,4,45,2353,1798,372,1117,8,1,6692,188,378,4,2581,60,578,3,5080,29,7,50,817,449,2,216,119,578,100,797,1,257,697,28,1,892,64,2,257,22,45,105,37,100,79,76,1
50,1453,826,24,29,244,8,61,1103,31,814,83,198,12,521,21,773,214,104,827,1,2878,24,4874,5210,15,1,37,5,350,21,51,654,70,1396,4,424,1,533,112,5,398,746,57,2,96,12,1825,54,5,4700,44,92,12,172,564,14,8,44,5727,2,86,92,155,24,11,66,159,444,4747,3374,1,746,4,1,2878,190,579,159,1592,856,14,2028,5743,235,857,105,37,235,857,287,16,195,1186,287,16,99,74,235,857,0
245,206,324,18,457,274,244,3,8652,57,231,9087,742,18,1378,3458,10,3872,492,166,2330,21,976,2,10,8,8053,46,135,49,14,18,9797,1657,232,223,497,2,96,5,9087,407,157,11,40,2157,10,14,8,5,538,1983,29,71,8,5,726,9,39,146,24,1,9087,407,323,48,1633,18,12,1,1775,214,510,22,378,25,164,8,71,239,50,671,4,1657,6,399,48,2404,136,37,105,37,13,65,296,35,99,74,136,37,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186,13,2341,3762,16,367,893,113,176,47,281,2067,384,384,6466,244,214,87,5,402,779,7,127,7,211,232,155,2248,1197,83,7,211,38,518,15,3698,3,160,11,211,10,2454,1860,358,230,11,327,115,526,11,91,3054,0
853,2580,1666,79,15,1,255,347,79,76,71,8,5546,4632,2,612,6,70,9017,944,198,9008,2,2551,6,1156,7,142,2353,1494,17,6177,604,4,544,3,612,3735,125,6913,91,1683,110,7,331,3494,2,759,29,7,20,550,14,72,69,6,425,33,1770,2524,474,79,15,473,215,6,1,167,190,33,2147,70,3,32,215,1794,70,1938,2,3244,14,215,30,68,1767,529,22,199,329,312,33,2524,9,70,3267,3,12,6698,952,312,1
5,313,113,1023,9,56,640,314,5,2509,123,21,5,294,62,183,4089,7,143,5,2757,113,1023,36,7,91,23,2,1586,5,402,4,110,2,48,46,55,478,56,691,10,174,7,400,123,1082,6,5,4469,133,1693,59,9,44,56,1319,22,5609,72,69,120,9,17,210,2463,1115,103,646,5026,1863,39,3765,2377,2812,133,5610,241,1353,793,2281,755,6700,530,47,527,664,477,32,387,756,1115,8,5,1121,208,1008,4,527,664,477,0
15,17,180,653,83,1591,27,180,100,405,1,780,180,3,1,263,2252,4,862,22,504,2,157,10,1725,28,1,892,4,1,180,100,23,17,180,653,3553,83,1376,2,408,17,169,13,26,16,208,113,29,14,255,7439,348,117,57,1407,3,1553,385,161,4140,9,17,2410,380,678,1492,14,184,35,52,8,326,27,299,499,2,537,412,13,299,16,184,103,475,105,37,103,475,65,132,35,195,65,132,35,65,74,103,475,1
9,5,1166,55,268,87,1184,64,48,5,56,900,15,5,60,138,930,547,930,21,5,280,190,18,50,423,21,1208,33,34,174,7,48,5,313,1166,3156,4,17,280,1218,90,5,313,62,2,429,21,2166,17,133,640,7,130,2,429,5,60,133,4739,17,4239,2166,2,1411,17,2643,178,85,2861,54,4,17,133,9,70,666,33,34,174,79,76,3,48,5,56,900,7,23,515,2,759,6423,25,216,14,52,312,79,76,1
0,0,0,0,0,0,0,0,0,0,0,0,0,382,112,22,1,2130,20,5237,3,5407,111,847,3527,126,53,743,19,1086,2,166,3527,6,70,89,134,1,157,2,1875,8,25,1,189,24,1,157,2,19,1086,27,1,2922,4,1,4054,1089,5997,323,19,5,680,2,695,7484,36,254,5,788,4364,134,2,49,12,29,12,2018,8,1,68,134,106,121,32,9,12,36,9,1,4044,4,2890,84,3451,1,20,8,788,4426,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,112,5312,16,970,151,16,151,81,7,34,629,2,66,1545,12,858,34,19,510,22,799,11,165,6,1,189,1218,24,7,3,10,8,84,11,49,12,2096,430,16,235,107,105,37,235,107,287,16,195,1186,287,16,99,74,235,107,0
967,558,5,123,289,692,908,3600,3740,492,14,861,2,1450,36,51,626,11,34,161,515,45,1422,1083,5385,3,9,2270,2569,3,1545,18,103,9,144,2569,11,77,1760,25,2,23,2,540,5,1158,1547,36,30,2956,70,1843,14,184,35,52,8,326,27,819,1018,4,10,189,266,871,219,48,5,60,76,9,56,195,26,1395,16,203,610,203,1418,1419,1420,103,270,105,37,103,270,65,132,35,195,65,132,35,65,74,103,270,0
